Feature,ElasticNet_Coefficient,ElasticNet_AbsCoeff,ElasticNet_Rank
postal_code_M7A,1.9709721248124448,1.9709721248124448,1
postal_code_V5J,1.9166835431906146,1.9166835431906146,2
postal_code_J6W,1.8998985854599018,1.8998985854599018,3
postal_code_V9A,1.7389174578366497,1.7389174578366497,4
postal_code_B2R,1.6842056935997327,1.6842056935997327,5
postal_code_T9K,1.6555599654949233,1.6555599654949233,6
postal_code_G3V,1.6151313093153499,1.6151313093153499,7
postal_code_P4E,1.6074318121391546,1.6074318121391546,8
postal_code_N9Y,1.564125918529213,1.564125918529213,9
postal_code_H3C,1.5632347078586608,1.5632347078586608,10
postal_code_M7W,1.5350842145006245,1.5350842145006245,11
postal_code_J3N,1.489506839185883,1.489506839185883,12
postal_code_P5B,1.4866080219781286,1.4866080219781286,13
postal_code_A3U,1.4563582070186096,1.4563582070186096,14
postal_code_M9B,1.4437830575228006,1.4437830575228006,15
postal_code_B2U,1.4247465416110174,1.4247465416110174,16
postal_code_R8Y,1.407950215178447,1.407950215178447,17
postal_code_J3F,1.3724495504832177,1.3724495504832177,18
postal_code_A9P,1.3697880696845184,1.3697880696845184,19
postal_code_M9X,1.335898904538246,1.335898904538246,20
postal_code_P7Z,1.3343667319541717,1.3343667319541717,21
postal_code_G8J,1.3300708210803984,1.3300708210803984,22
postal_code_G9H,1.329774229406658,1.329774229406658,23
postal_code_M6U,1.3140668868832426,1.3140668868832426,24
postal_code_K4M,1.3133532405001407,1.3133532405001407,25
postal_code_N2H,1.3118311627868797,1.3118311627868797,26
postal_code_R6A,1.305572067903721,1.305572067903721,27
postal_code_V2T,1.3043612075047815,1.3043612075047815,28
postal_code_M7H,1.2987793680303423,1.2987793680303423,29
postal_code_K2F,1.2954473108632212,1.2954473108632212,30
postal_code_H7C,1.2926717825863374,1.2926717825863374,31
postal_code_K3W,1.2796100791692389,1.2796100791692389,32
postal_code_J7S,1.2792154590816676,1.2792154590816676,33
postal_code_L4Q,1.27524818057582,1.27524818057582,34
postal_code_R7P,1.2728526964785345,1.2728526964785345,35
postal_code_H2D,1.2445549239639597,1.2445549239639597,36
postal_code_M9W,1.2287322863327068,1.2287322863327068,37
postal_code_P1S,1.2285213545342077,1.2285213545342077,38
postal_code_S9S,1.2208753448478011,1.2208753448478011,39
postal_code_T8F,1.2037884113010329,1.2037884113010329,40
postal_code_B5U,1.195915413736541,1.195915413736541,41
postal_code_B5I,1.1928733530046687,1.1928733530046687,42
postal_code_K6V,1.1925853954662202,1.1925853954662202,43
postal_code_T6I,1.1861159783009454,1.1861159783009454,44
postal_code_T2R,1.169034144257065,1.169034144257065,45
postal_code_G1L,1.1583936630224174,1.1583936630224174,46
postal_code_K3J,1.1472443594005943,1.1472443594005943,47
postal_code_T4J,1.1413878818360996,1.1413878818360996,48
postal_code_L4F,1.1389401556535725,1.1389401556535725,49
postal_code_M3S,1.135303674564184,1.135303674564184,50
postal_code_L8Q,1.1339865979497379,1.1339865979497379,51
postal_code_V2R,-1.1137640461102252,1.1137640461102252,52
postal_code_T5V,1.1072017094021043,1.1072017094021043,53
postal_code_G3T,1.104984256392908,1.104984256392908,54
postal_code_J6S,1.101322204299918,1.101322204299918,55
postal_code_V5D,1.1011889993485942,1.1011889993485942,56
postal_code_L7Y,1.101173346606007,1.101173346606007,57
postal_code_M8S,-1.0984505191658378,1.0984505191658378,58
postal_code_J9K,1.0888185442453904,1.0888185442453904,59
postal_code_T3P,1.079167339619368,1.079167339619368,60
postal_code_M4O,1.0741245455349864,1.0741245455349864,61
postal_code_T9I,1.0725772770692896,1.0725772770692896,62
postal_code_H6Y,1.0725713885988406,1.0725713885988406,63
postal_code_N8V,1.067784465621642,1.067784465621642,64
postal_code_H7J,1.0676356808389624,1.0676356808389624,65
postal_code_L6V,1.0659298806155402,1.0659298806155402,66
postal_code_H5K,1.0583557253455895,1.0583557253455895,67
postal_code_G2X,1.058209867496714,1.058209867496714,68
postal_code_P4S,1.052798231777409,1.052798231777409,69
postal_code_T5T,-1.0511838793106059,1.0511838793106059,70
postal_code_L4U,1.0506475540467919,1.0506475540467919,71
postal_code_P3S,1.042410878959762,1.042410878959762,72
postal_code_T2O,1.0383296692105677,1.0383296692105677,73
postal_code_P3B,1.034915968918907,1.034915968918907,74
postal_code_M6S,1.0347390073426221,1.0347390073426221,75
postal_code_V3B,1.034077981906444,1.034077981906444,76
postal_code_J5N,-1.0249272795672646,1.0249272795672646,77
postal_code_C3O,1.0206038460098799,1.0206038460098799,78
postal_code_L7I,1.0144345872688834,1.0144345872688834,79
postal_code_J5O,1.0115241485455655,1.0115241485455655,80
postal_code_V8U,1.0067732014304218,1.0067732014304218,81
postal_code_N4P,1.0018910109071262,1.0018910109071262,82
postal_code_M6T,-1.0017745502809166,1.0017745502809166,83
postal_code_M9L,0.9910722136104634,0.9910722136104634,84
postal_code_H9S,0.990510039671054,0.990510039671054,85
postal_code_H3P,0.9827084959546705,0.9827084959546705,86
postal_code_T6C,0.977745099174805,0.977745099174805,87
postal_code_M7C,-0.9761653048201506,0.9761653048201506,88
postal_code_M8B,0.9759071276695157,0.9759071276695157,89
postal_code_K8C,0.9703095921139346,0.9703095921139346,90
postal_code_G2W,0.967508953349947,0.967508953349947,91
postal_code_T7W,0.9658161773071883,0.9658161773071883,92
postal_code_H6G,0.9611276357436713,0.9611276357436713,93
postal_code_N6V,0.9587289699953867,0.9587289699953867,94
postal_code_V3G,0.9522077914451614,0.9522077914451614,95
postal_code_L9L,0.943952919517372,0.943952919517372,96
postal_code_T1R,0.9362688615192937,0.9362688615192937,97
postal_code_H5J,0.9357760503600039,0.9357760503600039,98
postal_code_V8T,0.934080084432645,0.934080084432645,99
postal_code_M6I,0.9338992670360718,0.9338992670360718,100
postal_code_N8I,0.9303732969247592,0.9303732969247592,101
postal_code_P1L,0.9265330567193901,0.9265330567193901,102
postal_code_V9Y,0.9228939145359797,0.9228939145359797,103
postal_code_N4Z,-0.9056086062420421,0.9056086062420421,104
postal_code_L1F,0.896274731062829,0.896274731062829,105
postal_code_N2I,0.8934356029843622,0.8934356029843622,106
postal_code_J6C,0.8930055770002338,0.8930055770002338,107
postal_code_B6K,0.8925870008560525,0.8925870008560525,108
postal_code_N7Z,0.8915018507254768,0.8915018507254768,109
postal_code_K7E,0.8891240467644025,0.8891240467644025,110
postal_code_G6Q,0.8885008765185105,0.8885008765185105,111
postal_code_M3P,0.8878531541651629,0.8878531541651629,112
postal_code_T2C,0.8826735655613014,0.8826735655613014,113
postal_code_N1W,0.880484953146906,0.880484953146906,114
postal_code_T7J,-0.8792214200943997,0.8792214200943997,115
postal_code_K2G,0.87905102280365,0.87905102280365,116
postal_code_R6H,0.8778719249517515,0.8778719249517515,117
postal_code_V8O,0.8760884892480287,0.8760884892480287,118
postal_code_N1B,0.876046594409085,0.876046594409085,119
postal_code_T1A,0.869436789295545,0.869436789295545,120
postal_code_M4B,0.869091023551864,0.869091023551864,121
postal_code_G4Z,0.8646077559300998,0.8646077559300998,122
postal_code_V2N,-0.860577747488337,0.860577747488337,123
postal_code_P9N,0.8552192944377106,0.8552192944377106,124
postal_code_L4N,0.8551277389874207,0.8551277389874207,125
postal_code_H4O,0.8540634677849602,0.8540634677849602,126
postal_code_P6H,0.8513522084730372,0.8513522084730372,127
postal_code_V2L,-0.8501282034454769,0.8501282034454769,128
postal_code_T1P,0.8483586181712038,0.8483586181712038,129
