Feature,LASSO_Coefficient,LASSO_AbsCoeff,LASSO_Rank,Ridge_Coefficient,Ridge_AbsCoeff,Ridge_Rank,ElasticNet_Coefficient,ElasticNet_AbsCoeff,ElasticNet_Rank,Average_Rank,Rank_Difference
postal_code_M7A,2.692348748684371,2.692348748684371,1,1.2831669670487669,1.2831669670487669,1,1.9709721248124448,1.9709721248124448,1,1.0,0
postal_code_B2R,2.592023767704575,2.592023767704575,2,1.2025872612420592,1.2025872612420592,2,1.6842056935997327,1.6842056935997327,5,3.0,3
postal_code_V9A,2.0937374725819815,2.0937374725819815,6,0.9975103835777998,0.9975103835777998,12,1.7389174578366497,1.7389174578366497,4,7.333333333333333,8
postal_code_A3U,2.014680196217463,2.014680196217463,9,1.1370010950291598,1.1370010950291598,3,1.4563582070186096,1.4563582070186096,14,8.666666666666666,11
postal_code_M9B,2.067179720314492,2.067179720314492,7,1.119941330355917,1.119941330355917,5,1.4437830575228006,1.4437830575228006,15,9.0,10
postal_code_T9K,2.0366228672623414,2.0366228672623414,8,0.9821464381326214,0.9821464381326214,14,1.6555599654949233,1.6555599654949233,6,9.333333333333334,8
postal_code_V5J,2.282887455986215,2.282887455986215,3,0.9322212220371014,0.9322212220371014,23,1.9166835431906146,1.9166835431906146,2,9.333333333333334,21
postal_code_B2U,1.8769353411427492,1.8769353411427492,13,1.120514613776759,1.120514613776759,4,1.4247465416110174,1.4247465416110174,16,11.0,12
postal_code_G3V,2.1837107757062455,2.1837107757062455,5,0.9102237082469167,0.9102237082469167,32,1.6151313093153499,1.6151313093153499,7,14.666666666666666,27
postal_code_N9Y,1.8846630350404554,1.8846630350404554,11,0.9315578728918245,0.9315578728918245,24,1.564125918529213,1.564125918529213,9,14.666666666666666,15
postal_code_N2H,1.7284295756272139,1.7284295756272139,16,1.0693207151739965,1.0693207151739965,7,1.3118311627868797,1.3118311627868797,26,16.333333333333332,19
postal_code_M7H,1.6855054855352916,1.6855054855352916,17,1.0885911567081645,1.0885911567081645,6,1.2987793680303423,1.2987793680303423,29,17.333333333333332,23
postal_code_H3C,1.964719347630177,1.964719347630177,10,0.8868885752100801,0.8868885752100801,40,1.5632347078586608,1.5632347078586608,10,20.0,30
postal_code_J6W,2.216847460796396,2.216847460796396,4,0.8368597254736918,0.8368597254736918,54,1.8998985854599018,1.8998985854599018,3,20.333333333333332,51
postal_code_J7S,1.6170875681265067,1.6170875681265067,21,1.0578831567390206,1.0578831567390206,8,1.2792154590816676,1.2792154590816676,33,20.666666666666668,25
postal_code_L4Q,1.5498063274144043,1.5498063274144043,24,1.0388300215197106,1.0388300215197106,9,1.27524818057582,1.27524818057582,34,22.333333333333332,25
postal_code_P5B,1.7998234210339223,1.7998234210339223,14,0.8787299656073972,0.8787299656073972,42,1.4866080219781286,1.4866080219781286,13,23.0,29
postal_code_A9P,1.6819482590685122,1.6819482590685122,19,0.8761197134822625,0.8761197134822625,43,1.3697880696845184,1.3697880696845184,19,27.0,24
postal_code_B5I,1.4058510397166293,1.4058510397166293,35,1.0053759697818034,1.0053759697818034,11,1.1928733530046687,1.1928733530046687,42,29.333333333333332,31
postal_code_P4E,1.8805205157985594,1.8805205157985594,12,0.7972119584527639,0.7972119584527639,70,1.6074318121391546,1.6074318121391546,8,30.0,62
postal_code_P7Z,1.5424519623323167,1.5424519623323167,26,0.8596691697716753,0.8596691697716753,49,1.3343667319541717,1.3343667319541717,21,32.0,28
postal_code_M7W,1.7550817615778698,1.7550817615778698,15,0.793467056478569,0.793467056478569,71,1.5350842145006245,1.5350842145006245,11,32.333333333333336,60
postal_code_K3J,1.381747411112645,1.381747411112645,38,0.9780046402574695,0.9780046402574695,16,1.1472443594005943,1.1472443594005943,47,33.666666666666664,31
postal_code_K3W,1.5487569022528114,1.5487569022528114,25,0.8427783671916328,0.8427783671916328,52,1.2796100791692389,1.2796100791692389,32,36.333333333333336,27
postal_code_G8J,1.6354134954023156,1.6354134954023156,20,0.8082456884053778,0.8082456884053778,68,1.3300708210803984,1.3300708210803984,22,36.666666666666664,48
postal_code_K2F,1.5306480066876986,1.5306480066876986,28,0.8300429180293224,0.8300429180293224,57,1.2954473108632212,1.2954473108632212,30,38.333333333333336,29
postal_code_R6A,1.5394787365049982,1.5394787365049982,27,0.8215470752832301,0.8215470752832301,62,1.305572067903721,1.305572067903721,27,38.666666666666664,35
postal_code_R8Y,1.5978185978723407,1.5978185978723407,23,0.7474441693314708,0.7474441693314708,83,1.407950215178447,1.407950215178447,17,41.0,66
