Feature,LASSO_Coefficient,LASSO_AbsCoeff,LASSO_Rank
postal_code_M7A,2.692348748684371,2.692348748684371,1
postal_code_B2R,2.592023767704575,2.592023767704575,2
postal_code_V5J,2.282887455986215,2.282887455986215,3
postal_code_J6W,2.216847460796396,2.216847460796396,4
postal_code_G3V,2.1837107757062455,2.1837107757062455,5
postal_code_V9A,2.0937374725819815,2.0937374725819815,6
postal_code_M9B,2.067179720314492,2.067179720314492,7
postal_code_T9K,2.0366228672623414,2.0366228672623414,8
postal_code_A3U,2.014680196217463,2.014680196217463,9
postal_code_H3C,1.964719347630177,1.964719347630177,10
postal_code_N9Y,1.8846630350404554,1.8846630350404554,11
postal_code_P4E,1.8805205157985594,1.8805205157985594,12
postal_code_B2U,1.8769353411427492,1.8769353411427492,13
postal_code_P5B,1.7998234210339223,1.7998234210339223,14
postal_code_M7W,1.7550817615778698,1.7550817615778698,15
postal_code_N2H,1.7284295756272139,1.7284295756272139,16
postal_code_M7H,1.6855054855352916,1.6855054855352916,17
postal_code_J3N,1.6835704439924661,1.6835704439924661,18
postal_code_A9P,1.6819482590685122,1.6819482590685122,19
postal_code_G8J,1.6354134954023156,1.6354134954023156,20
postal_code_J7S,1.6170875681265067,1.6170875681265067,21
postal_code_J3F,1.6002308433426948,1.6002308433426948,22
postal_code_R8Y,1.5978185978723407,1.5978185978723407,23
postal_code_L4Q,1.5498063274144043,1.5498063274144043,24
postal_code_K3W,1.5487569022528114,1.5487569022528114,25
postal_code_P7Z,1.5424519623323167,1.5424519623323167,26
postal_code_R6A,1.5394787365049982,1.5394787365049982,27
postal_code_K2F,1.5306480066876986,1.5306480066876986,28
postal_code_G9H,1.5058479999030108,1.5058479999030108,29
postal_code_H2D,1.4821847769866616,1.4821847769866616,30
postal_code_M9X,1.4779844939614137,1.4779844939614137,31
postal_code_M6U,1.4737377235160953,1.4737377235160953,32
postal_code_H7C,1.4512160261376217,1.4512160261376217,33
postal_code_V2T,1.4270787819243307,1.4270787819243307,34
postal_code_B5I,1.4058510397166293,1.4058510397166293,35
postal_code_K4M,1.405567017310534,1.405567017310534,36
postal_code_S9S,1.3930329119364893,1.3930329119364893,37
postal_code_K3J,1.381747411112645,1.381747411112645,38
postal_code_R7P,1.3584063211131212,1.3584063211131212,39
postal_code_M9W,1.3416596427110852,1.3416596427110852,40
postal_code_P1S,1.3404499429914765,1.3404499429914765,41
postal_code_G1L,1.3344263228566906,1.3344263228566906,42
postal_code_B5U,1.3272379111211208,1.3272379111211208,43
postal_code_T2R,1.3005216573198812,1.3005216573198812,44
postal_code_T8F,1.2840256704034418,1.2840256704034418,45
postal_code_K6V,1.2837277687859519,1.2837277687859519,46
postal_code_T6I,1.2619506468215007,1.2619506468215007,47
postal_code_L8Q,1.2214098336999626,1.2214098336999626,48
postal_code_M8S,-1.214457369193092,1.214457369193092,49
postal_code_T4J,1.2100337376126071,1.2100337376126071,50
postal_code_G3T,1.1993684184315836,1.1993684184315836,51
postal_code_T5V,1.1923379056203474,1.1923379056203474,52
postal_code_L4F,1.1900165710325628,1.1900165710325628,53
postal_code_M3S,1.1767311399428533,1.1767311399428533,54
postal_code_V2R,-1.1740938364774323,1.1740938364774323,55
postal_code_H5K,1.1718951244067848,1.1718951244067848,56
postal_code_J6S,1.1692547300994607,1.1692547300994607,57
postal_code_N8V,1.156282323457198,1.156282323457198,58
postal_code_L7Y,1.1534372024723558,1.1534372024723558,59
postal_code_H6Y,1.1522217981154115,1.1522217981154115,60
postal_code_J9K,1.134028615278887,1.134028615278887,61
postal_code_V5D,1.1328109219454305,1.1328109219454305,62
postal_code_M4O,1.1307965357290617,1.1307965357290617,63
postal_code_P3S,1.1307913263332485,1.1307913263332485,64
postal_code_G2X,1.1267174964579536,1.1267174964579536,65
postal_code_H7J,1.119120673809896,1.119120673809896,66
postal_code_T3P,1.1166372298423084,1.1166372298423084,67
postal_code_T9I,1.1156199191427305,1.1156199191427305,68
postal_code_L4U,1.1057948033785956,1.1057948033785956,69
postal_code_L6V,1.1041936468054048,1.1041936468054048,70
postal_code_M6S,1.08458729211027,1.08458729211027,71
postal_code_P4S,1.0781845140131396,1.0781845140131396,72
postal_code_T5T,-1.068449018666263,1.068449018666263,73
postal_code_V3B,1.0564026312299024,1.0564026312299024,74
postal_code_T2O,1.0558026290503606,1.0558026290503606,75
postal_code_P3B,1.0545846931368263,1.0545846931368263,76
postal_code_J5O,1.0482679279028384,1.0482679279028384,77
postal_code_C3O,1.0429439770317341,1.0429439770317341,78
postal_code_L7I,1.0401560449088123,1.0401560449088123,79
postal_code_J5N,-1.0325251740037762,1.0325251740037762,80
postal_code_M6T,-1.028510818197888,1.028510818197888,81
postal_code_N4P,1.0125166324011423,1.0125166324011423,82
postal_code_V8U,1.0123450121926048,1.0123450121926048,83
postal_code_H9S,1.0044361781305207,1.0044361781305207,84
postal_code_M9L,1.0040720920917705,1.0040720920917705,85
postal_code_H3P,1.0008906881024557,1.0008906881024557,86
postal_code_K8C,0.985553190255264,0.985553190255264,87
postal_code_M8B,0.9814411018949878,0.9814411018949878,88
postal_code_T6C,0.9796930373092679,0.9796930373092679,89
postal_code_T7W,0.974147898695747,0.974147898695747,90
postal_code_H6G,0.968294957783266,0.968294957783266,91
postal_code_G2W,0.9681832925376102,0.9681832925376102,92
postal_code_N6V,0.9513732057375998,0.9513732057375998,93
postal_code_M7C,-0.9478123191759015,0.9478123191759015,94
postal_code_V3G,0.9448429538446624,0.9448429538446624,95
postal_code_L9L,0.9352563331742119,0.9352563331742119,96
postal_code_H5J,0.9198633870840457,0.9198633870840457,97
postal_code_V8T,0.9196329073298483,0.9196329073298483,98
postal_code_T1R,0.9142269497025991,0.9142269497025991,99
postal_code_N8I,0.9102015755888463,0.9102015755888463,100
postal_code_P1L,0.9096030296168605,0.9096030296168605,101
postal_code_V9Y,0.9033246239317448,0.9033246239317448,102
postal_code_M6I,0.9025143892063567,0.9025143892063567,103
postal_code_K7E,0.8732674592153865,0.8732674592153865,104
postal_code_N1W,0.8653013017537368,0.8653013017537368,105
postal_code_L1F,0.8649421657897169,0.8649421657897169,106
postal_code_G6Q,0.8622400690373605,0.8622400690373605,107
postal_code_T2C,0.8536380940933074,0.8536380940933074,108
postal_code_M3P,0.8528259417822378,0.8528259417822378,109
postal_code_T1A,0.83789720003786,0.83789720003786,110
postal_code_J6C,0.8369810936437002,0.8369810936437002,111
postal_code_N2I,0.8368897195882942,0.8368897195882942,112
postal_code_V8O,0.8308997389919672,0.8308997389919672,113
postal_code_G4Z,0.8272063840561152,0.8272063840561152,114
postal_code_N7Z,0.8261478936204636,0.8261478936204636,115
postal_code_N4Z,-0.8246763011108571,0.8246763011108571,116
postal_code_N1B,0.8115752572361623,0.8115752572361623,117
postal_code_P6H,0.8096160126485807,0.8096160126485807,118
postal_code_B6K,0.8074047978103622,0.8074047978103622,119
postal_code_K2G,0.7948648831083015,0.7948648831083015,120
postal_code_M4B,0.7882057306891421,0.7882057306891421,121
postal_code_L9N,0.7860849413899105,0.7860849413899105,122
postal_code_R6H,0.7849618935179354,0.7849618935179354,123
postal_code_J2N,0.7820747217002715,0.7820747217002715,124
postal_code_L4N,0.7773745472142424,0.7773745472142424,125
postal_code_P9N,0.7749884345733927,0.7749884345733927,126
postal_code_H4O,0.7729869669835494,0.7729869669835494,127
postal_code_T1P,0.7621955415438705,0.7621955415438705,128
postal_code_H3H,0.7615682395390296,0.7615682395390296,129
claim_type_Vandalism,-0.7584563136733415,0.7584563136733415,130
postal_code_T7J,-0.7576793276603423,0.7576793276603423,131
postal_code_P8K,0.7519339256380444,0.7519339256380444,132
postal_code_P8R,0.7518548744764536,0.7518548744764536,133
postal_code_V2N,-0.7501453616243091,0.7501453616243091,134
postal_code_V2L,-0.745745080934538,0.745745080934538,135
postal_code_V6I,-0.7372610212362787,0.7372610212362787,136
postal_code_G8M,0.7346578131329663,0.7346578131329663,137
postal_code_P5A,0.7256208154009068,0.7256208154009068,138
postal_code_V4S,0.7247075864858709,0.7247075864858709,139
postal_code_K5G,0.7192466825132066,0.7192466825132066,140
postal_code_T6Y,0.7086055887083826,0.7086055887083826,141
postal_code_N9X,0.7034670869651483,0.7034670869651483,142
postal_code_T7Y,0.7033601410396213,0.7033601410396213,143
postal_code_M4P,-0.7014973468052872,0.7014973468052872,144
postal_code_V7X,0.7009617048090951,0.7009617048090951,145
claim_type_Weather,-0.6994838820162215,0.6994838820162215,146
postal_code_M5N,0.6991026644145957,0.6991026644145957,147
postal_code_V6V,-0.6936610393261053,0.6936610393261053,148
postal_code_V8E,-0.6932381356551214,0.6932381356551214,149
postal_code_N2L,0.6880238802717261,0.6880238802717261,150
postal_code_R6D,-0.6811828290403253,0.6811828290403253,151
postal_code_P2U,0.678992810639866,0.678992810639866,152
postal_code_M6H,0.678983064289981,0.678983064289981,153
postal_code_R3B,0.6725620972399763,0.6725620972399763,154
postal_code_V5Q,0.6724737730747135,0.6724737730747135,155
postal_code_L9E,0.6660482926927325,0.6660482926927325,156
postal_code_H6M,0.6610530187212782,0.6610530187212782,157
claim_type_Injury,0.6607042622909087,0.6607042622909087,158
postal_code_R6W,0.6537005088105794,0.6537005088105794,159
postal_code_J3T,0.6519554096821873,0.6519554096821873,160
postal_code_M2F,0.6518266637937395,0.6518266637937395,161
postal_code_V4H,0.6515851321284586,0.6515851321284586,162
claim_type_Glass,-0.6439938360475007,0.6439938360475007,163
postal_code_M4N,-0.6371451568050427,0.6371451568050427,164
postal_code_J5W,-0.6366956579155321,0.6366956579155321,165
postal_code_V8V,0.634713054406826,0.634713054406826,166
postal_code_V1L,0.630891863325787,0.630891863325787,167
postal_code_H7I,0.6298676039684872,0.6298676039684872,168
postal_code_J9R,0.6292393697397982,0.6292393697397982,169
postal_code_N7O,0.6208455323786943,0.6208455323786943,170
postal_code_N5H,0.6204431495139556,0.6204431495139556,171
postal_code_V3M,0.6203730640840828,0.6203730640840828,172
postal_code_N6T,0.6026670013631081,0.6026670013631081,173
postal_code_V3R,0.6008711872954644,0.6008711872954644,174
postal_code_J5Y,0.6006369425306295,0.6006369425306295,175
postal_code_P9H,0.6002741749225695,0.6002741749225695,176
postal_code_G6I,0.5976784379979668,0.5976784379979668,177
postal_code_M5O,0.5966530962645593,0.5966530962645593,178
postal_code_P1C,0.5930719796687067,0.5930719796687067,179
postal_code_T9Z,0.5865344458088034,0.5865344458088034,180
postal_code_K5K,0.5854219397301695,0.5854219397301695,181
postal_code_G1M,0.5832507778895383,0.5832507778895383,182
postal_code_R5T,0.5815087998793866,0.5815087998793866,183
postal_code_H6X,0.5770913797484726,0.5770913797484726,184
postal_code_H3M,0.571217246946702,0.571217246946702,185
postal_code_T3H,0.5692957135049983,0.5692957135049983,186
postal_code_P8W,0.5652950847465732,0.5652950847465732,187
postal_code_H1G,0.5638442069700156,0.5638442069700156,188
postal_code_M7N,0.560844063420682,0.560844063420682,189
postal_code_T9W,0.5542557877125258,0.5542557877125258,190
postal_code_K5A,0.5489734629748224,0.5489734629748224,191
postal_code_N8W,0.547946632451336,0.547946632451336,192
postal_code_T4Y,0.5460152980643203,0.5460152980643203,193
postal_code_P7E,0.5458467073111595,0.5458467073111595,194
postal_code_H7S,0.5450604649446773,0.5450604649446773,195
postal_code_P9L,0.540706919450129,0.540706919450129,196
postal_code_K9M,-0.5331711513722825,0.5331711513722825,197
postal_code_L6X,0.5283126460325152,0.5283126460325152,198
witness_present_Yes,-0.5263887760099161,0.5263887760099161,199
postal_code_N8Q,-0.5165216978907615,0.5165216978907615,200
postal_code_V4J,0.5041782348148457,0.5041782348148457,201
postal_code_J4V,0.5012505608606724,0.5012505608606724,202
postal_code_J4L,0.5011484565346599,0.5011484565346599,203
postal_code_M1O,-0.5010713006598311,0.5010713006598311,204
postal_code_J7B,0.4973963254814567,0.4973963254814567,205
postal_code_M2D,0.4964588013233925,0.4964588013233925,206
postal_code_G1S,-0.48914502703052165,0.48914502703052165,207
postal_code_V3L,0.4885209604975546,0.4885209604975546,208
postal_code_N3V,0.4847970052845542,0.4847970052845542,209
postal_code_P7L,0.48199298750751024,0.48199298750751024,210
postal_code_M4R,0.48193007797688364,0.48193007797688364,211
postal_code_J9P,0.47193121012912115,0.47193121012912115,212
postal_code_V7Y,0.47141382238154667,0.47141382238154667,213
postal_code_V8W,-0.46849001341122926,0.46849001341122926,214
postal_code_P8G,0.4641991392507413,0.4641991392507413,215
