Feature,Ridge_Coefficient,Ridge_AbsCoeff,Ridge_Rank
postal_code_M7A,1.2831669670487669,1.2831669670487669,1
postal_code_B2R,1.2025872612420592,1.2025872612420592,2
postal_code_A3U,1.1370010950291598,1.1370010950291598,3
postal_code_B2U,1.120514613776759,1.120514613776759,4
postal_code_M9B,1.119941330355917,1.119941330355917,5
postal_code_M7H,1.0885911567081645,1.0885911567081645,6
postal_code_N2H,1.0693207151739965,1.0693207151739965,7
postal_code_J7S,1.0578831567390206,1.0578831567390206,8
postal_code_L4Q,1.0388300215197106,1.0388300215197106,9
postal_code_P3S,1.0117976974490501,1.0117976974490501,10
postal_code_B5I,1.0053759697818034,1.0053759697818034,11
postal_code_V9A,0.9975103835777998,0.9975103835777998,12
postal_code_B4I,0.9844087372884622,0.9844087372884622,13
postal_code_T9K,0.9821464381326214,0.9821464381326214,14
postal_code_H5K,0.978617920228158,0.978617920228158,15
postal_code_K3J,0.9780046402574695,0.9780046402574695,16
postal_code_S8N,0.9734440846600713,0.9734440846600713,17
postal_code_E5Q,0.9720547607400528,0.9720547607400528,18
postal_code_C3O,0.9557463062997295,0.9557463062997295,19
postal_code_J6P,0.9464954277185007,0.9464954277185007,20
postal_code_A9F,0.9424348357597703,0.9424348357597703,21
postal_code_S5O,0.9331038965160889,0.9331038965160889,22
postal_code_V5J,0.9322212220371014,0.9322212220371014,23
postal_code_N9Y,0.9315578728918245,0.9315578728918245,24
postal_code_B2X,0.9294610415785103,0.9294610415785103,25
postal_code_C5F,0.9240923874811587,0.9240923874811587,26
postal_code_G2L,0.9206847139038253,0.9206847139038253,27
postal_code_B1I,0.9162690100476477,0.9162690100476477,28
postal_code_A6M,0.9156090054133552,0.9156090054133552,29
postal_code_H8I,0.9124713384936792,0.9124713384936792,30
postal_code_K8C,0.911315435000882,0.911315435000882,31
postal_code_G3V,0.9102237082469167,0.9102237082469167,32
postal_code_S7N,0.9081124876391827,0.9081124876391827,33
postal_code_B8U,0.9072215242899759,0.9072215242899759,34
postal_code_B3A,0.9060434260689613,0.9060434260689613,35
postal_code_J8A,0.9036910316023784,0.9036910316023784,36
postal_code_E9E,0.9033964263506287,0.9033964263506287,37
postal_code_C7C,0.8989489935576541,0.8989489935576541,38
postal_code_B7U,0.8931762863009263,0.8931762863009263,39
postal_code_H3C,0.8868885752100801,0.8868885752100801,40
postal_code_E2Q,0.8843373957329578,0.8843373957329578,41
postal_code_P5B,0.8787299656073972,0.8787299656073972,42
postal_code_A9P,0.8761197134822625,0.8761197134822625,43
postal_code_B8V,0.8735615266912287,0.8735615266912287,44
postal_code_P4A,0.867994706020226,0.867994706020226,45
postal_code_S8G,0.8653580344082298,0.8653580344082298,46
postal_code_R3L,0.8627852764116146,0.8627852764116146,47
postal_code_E9Y,0.8623562499240729,0.8623562499240729,48
postal_code_P7Z,0.8596691697716753,0.8596691697716753,49
postal_code_S9L,0.8518929590667379,0.8518929590667379,50
postal_code_E3K,0.8428750606766231,0.8428750606766231,51
postal_code_K3W,0.8427783671916328,0.8427783671916328,52
postal_code_E4L,0.8426397370977383,0.8426397370977383,53
postal_code_J6W,0.8368597254736918,0.8368597254736918,54
postal_code_C7N,0.835938911206729,0.835938911206729,55
postal_code_A3W,0.8321581408888836,0.8321581408888836,56
postal_code_K2F,0.8300429180293224,0.8300429180293224,57
postal_code_G4W,0.8287600055626443,0.8287600055626443,58
postal_code_A2Z,0.8255682503334886,0.8255682503334886,59
postal_code_S9S,0.8243474912369398,0.8243474912369398,60
postal_code_A2J,0.8232412296057269,0.8232412296057269,61
postal_code_R6A,0.8215470752832301,0.8215470752832301,62
postal_code_H4I,0.819154219843609,0.819154219843609,63
postal_code_C7I,0.8176221112672483,0.8176221112672483,64
postal_code_N4J,0.8172199359510265,0.8172199359510265,65
postal_code_A1Y,0.8153276157763862,0.8153276157763862,66
postal_code_E2D,0.8127314227437713,0.8127314227437713,67
postal_code_G8J,0.8082456884053778,0.8082456884053778,68
postal_code_C8F,0.8078517415545616,0.8078517415545616,69
postal_code_P4E,0.7972119584527639,0.7972119584527639,70
postal_code_M7W,0.793467056478569,0.793467056478569,71
postal_code_H2D,0.7929989304683285,0.7929989304683285,72
postal_code_J7Z,0.7910158979270152,0.7910158979270152,73
postal_code_E2K,0.7892586992987269,0.7892586992987269,74
postal_code_C2I,0.7884800013165769,0.7884800013165769,75
postal_code_J5D,0.7877724037871505,0.7877724037871505,76
postal_code_G1L,0.7851300140289819,0.7851300140289819,77
postal_code_R1C,0.7830126274855066,0.7830126274855066,78
postal_code_E5G,0.7722836197988703,0.7722836197988703,79
postal_code_C6B,0.7712757209096125,0.7712757209096125,80
postal_code_N8V,0.7699807905677599,0.7699807905677599,81
postal_code_B7R,0.7604937547188887,0.7604937547188887,82
postal_code_R8Y,0.7474441693314708,0.7474441693314708,83
postal_code_H7C,0.7365927569406825,0.7365927569406825,84
postal_code_H6Y,0.7330993819349034,0.7330993819349034,85
postal_code_B5N,0.7295493433134094,0.7295493433134094,86
postal_code_A2U,0.7220030193177165,0.7220030193177165,87
postal_code_A6Z,0.7163103041175879,0.7163103041175879,88
postal_code_E2P,0.7140197983165432,0.7140197983165432,89
postal_code_H6G,0.7137429586173452,0.7137429586173452,90
postal_code_J3F,0.7107948580982231,0.7107948580982231,91
postal_code_M6U,0.7073307879949277,0.7073307879949277,92
postal_code_L8Q,0.7041688880637158,0.7041688880637158,93
postal_code_G9H,0.7037434110915215,0.7037434110915215,94
postal_code_J5O,0.7025418764956431,0.7025418764956431,95
postal_code_J6C,0.7020904161443567,0.7020904161443567,96
postal_code_P3W,0.6992760002044767,0.6992760002044767,97
postal_code_H5J,0.696746908390796,0.696746908390796,98
postal_code_K2G,0.6853609893609046,0.6853609893609046,99
postal_code_B4A,0.6839338141645458,0.6839338141645458,100
postal_code_G1G,0.6687748188058764,0.6687748188058764,101
postal_code_S5Z,0.6681739723501925,0.6681739723501925,102
postal_code_M6H,0.6676817291333065,0.6676817291333065,103
postal_code_G7Z,0.658169448190114,0.658169448190114,104
postal_code_M4O,0.6555783411059242,0.6555783411059242,105
